CODE,LOCATION,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,OB»AN… 2011-SPRAVEDL. PRO LIDI,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
541842,BÏha¯ov,142,83,80,5,0,0,2,0,7,5,0,1,0,2,0,9,0,1,3,32,0,4,0,0,0,0,9,0
555797,BÏöiny,657,398,397,31,1,0,20,0,13,24,3,6,6,0,1,38,0,0,9,159,7,30,0,2,1,3,42,1
555801,BezdÏkov,725,447,442,41,6,0,32,2,17,45,6,6,5,0,0,55,0,0,22,147,1,14,0,0,0,0,40,3
578088,Bi¯kov,103,67,67,8,0,0,12,0,3,5,1,1,0,0,1,7,0,0,2,17,0,1,0,5,0,0,4,0
555835,Boleöiny,612,417,416,39,1,0,21,1,43,25,0,5,4,0,0,48,0,1,11,123,3,31,0,7,0,1,48,4
541923,B¯eûany,162,105,105,5,0,0,9,0,4,11,0,0,0,0,0,10,0,0,1,55,0,6,0,0,0,0,4,0
555894,BudÏtice,242,168,168,18,0,0,20,0,4,15,0,3,3,0,0,18,0,0,2,58,1,9,0,0,0,4,13,0
530085,BukovnÌk,59,42,42,6,0,0,2,0,3,5,0,0,0,0,0,2,0,0,1,16,0,4,0,0,0,0,3,0
555941,»achrov,442,261,260,30,0,0,30,0,11,16,1,0,1,0,0,33,0,0,11,68,0,16,0,0,0,0,43,0
553531,»ernÌkov,282,146,146,16,0,0,10,0,6,10,1,1,0,1,0,10,0,0,1,59,0,5,0,1,0,1,24,0
542172,»ervenÈ Po¯ÌËÌ,193,117,117,8,0,0,8,0,10,10,2,1,1,0,0,6,0,0,5,48,0,4,0,0,5,0,9,0
542024,»ÌhaÚ,174,97,97,6,1,1,7,0,5,2,2,0,0,0,0,24,1,0,0,29,0,6,0,1,0,0,11,1
578495,»Ìmice,128,101,101,9,0,0,6,0,2,11,2,1,0,1,0,9,0,0,7,42,0,3,0,2,0,0,6,0
556041,Deöenice,559,353,351,31,0,0,20,0,17,74,1,1,1,0,1,32,0,0,8,105,0,17,0,0,1,0,42,0
556068,Dlaûov,382,202,200,5,3,0,8,0,14,26,2,2,1,1,0,15,0,0,9,84,0,11,0,0,0,1,18,0
556076,Dlouh· Ves,665,402,402,40,1,0,28,0,27,25,4,5,1,0,2,42,0,1,16,158,2,12,1,2,2,0,33,0
530123,DobröÌn,86,66,66,21,0,0,5,0,1,1,1,1,1,0,0,4,0,0,2,18,0,1,0,1,0,1,8,0
556106,Dolany,716,445,440,29,1,2,30,1,29,43,4,1,8,2,1,38,0,0,15,149,5,18,0,0,4,4,54,2
578517,Domoraz,50,39,39,2,0,0,5,0,1,3,0,0,0,0,0,5,0,0,0,16,0,3,0,0,1,0,3,0
566683,Draûovice,124,80,79,1,0,0,8,0,4,8,3,0,3,0,0,6,0,0,4,20,0,1,0,0,0,0,21,0
578525,Frymburk,81,59,58,11,0,0,6,0,2,1,0,0,0,0,0,0,0,0,5,23,0,6,0,0,0,0,4,0
578240,Hamry,112,76,75,9,0,0,3,1,1,5,1,0,1,0,0,7,1,0,4,30,0,7,0,0,0,0,5,0
556181,Hartmanice,863,475,472,37,5,0,26,2,20,52,4,8,2,0,0,54,0,0,12,152,1,38,6,5,1,1,43,3
541796,Hejn·,139,98,98,7,0,0,10,0,3,5,0,0,0,0,0,10,0,0,0,53,0,3,0,0,0,0,7,0
556203,HlavÚovice,402,279,278,18,0,0,16,1,16,20,1,4,4,1,1,37,0,0,5,92,0,44,0,4,2,1,10,1
542083,HnaËov,88,60,60,7,0,0,8,0,3,3,0,0,0,0,0,3,0,0,0,24,0,1,0,0,0,0,11,0
556254,HoraûÔovice,4347,2690,2669,261,9,1,241,0,197,175,24,43,28,2,3,302,1,0,85,892,4,165,2,9,4,4,214,3
542091,Horsk· Kvilda,89,68,68,23,0,0,0,0,3,0,1,0,0,0,0,11,0,0,10,18,0,0,0,0,0,0,2,0
556301,Hr·dek,1112,684,678,85,0,0,38,5,32,38,16,10,10,0,1,66,1,0,26,207,0,57,1,2,2,0,81,0
556319,Hradeöice,340,206,204,22,1,1,21,1,15,14,3,3,4,0,0,23,0,0,12,52,0,17,0,3,1,0,10,1
556335,Chanovice,569,382,380,35,1,0,37,0,54,22,1,0,6,0,1,21,0,0,15,122,0,25,0,1,1,1,36,1
556343,Chlistov,121,85,83,10,0,0,7,0,1,8,0,2,0,0,0,5,0,0,1,34,0,5,0,1,0,0,9,0
556343,Chlistov,121,85,83,10,0,0,7,0,1,8,0,2,0,0,0,5,0,0,1,34,0,5,0,1,0,0,9,0
556343,Chlistov,121,85,83,10,0,0,7,0,1,8,0,2,0,0,0,5,0,0,1,34,0,5,0,1,0,0,9,0
556378,Chudenice,606,364,361,22,2,0,25,0,17,36,2,2,8,0,0,38,0,0,16,128,8,12,0,3,1,0,40,1
556386,ChudenÌn,477,260,256,25,0,0,18,0,17,26,4,2,9,0,0,12,0,0,9,92,2,7,1,0,0,1,30,1
556394,Janovice nad ⁄hlavou,1737,1003,993,102,6,2,94,0,39,86,5,4,12,3,1,110,0,1,18,362,0,34,1,1,3,2,103,4
541869,Javor,56,41,41,5,6,0,1,0,3,3,0,0,0,0,0,2,0,0,2,13,0,2,0,0,0,0,4,0
541753,Jeûovy,186,105,104,12,0,0,14,0,4,8,1,0,3,0,0,13,0,0,1,23,0,6,0,0,0,0,17,2
556432,KaöperskÈ Hory,1255,773,767,105,2,1,64,1,23,47,5,9,9,1,0,74,1,2,41,258,3,35,0,3,1,1,79,2
541826,Kejnice,89,58,57,1,0,0,0,0,7,19,0,2,0,0,0,4,0,0,2,10,0,7,0,0,0,0,5,0
555771,Klatovy,17816,10849,10796,1†407,24,7,911,20,390,958,112,107,160,12,17,1†137,2,8,530,3†330,17,397,5,54,40,25,1†095,31
541851,Klenov·,95,56,56,1,1,0,5,1,3,9,1,0,1,0,0,6,0,0,2,18,1,2,0,0,0,0,5,0
556467,Kolinec,1155,685,679,32,1,1,42,4,88,85,6,3,2,0,3,62,0,0,18,210,4,32,0,5,1,2,78,0
578177,KovËÌn,72,38,38,2,0,0,1,0,6,0,0,0,1,0,0,2,1,0,1,20,0,0,0,0,0,0,4,0
556505,K¯enice,172,101,101,15,0,0,5,0,5,10,0,2,0,0,0,11,0,0,6,28,0,2,0,0,0,2,15,0
541931,Kv·öÚovice,106,71,70,12,0,0,6,0,8,2,1,0,0,0,0,14,0,0,9,12,0,1,0,0,0,0,5,0
578070,Lomec,104,82,81,15,0,0,7,0,11,7,0,1,0,0,1,5,0,0,1,17,0,5,0,0,0,0,10,1
556629,Mal˝ Bor,446,266,263,23,0,0,20,1,18,18,2,4,2,0,2,31,0,0,10,95,0,23,0,1,0,0,11,2
578410,MaÚovice,49,37,37,4,0,0,4,0,2,4,0,0,1,0,0,2,0,1,0,10,0,1,0,0,0,0,8,0
556637,MÏËÌn,894,531,528,31,0,0,43,0,21,67,3,3,5,0,0,31,0,2,13,226,0,7,0,2,3,1,69,1
578461,Meziho¯Ì,51,29,29,4,0,0,4,0,2,2,1,1,0,0,0,4,0,0,4,4,0,1,0,0,0,0,1,1
542059,Ml˝nskÈ Struhadlo,47,29,29,6,0,0,4,0,1,1,0,0,0,0,0,2,0,0,3,11,0,0,0,0,0,0,1,0
542148,Modrava,134,121,119,43,0,0,6,0,14,4,2,0,2,0,1,13,1,0,14,9,0,4,0,1,0,0,5,0
556718,MochtÌn,816,507,506,60,1,0,30,0,30,62,7,3,7,1,2,25,1,1,27,161,2,12,0,1,3,0,65,5
556726,Mokrosuky,106,84,84,19,0,0,8,0,4,4,0,1,0,0,1,12,0,0,7,21,0,1,0,1,0,0,5,0
556734,MyslÌv,351,201,201,8,0,0,30,2,15,28,1,1,3,0,0,12,0,0,9,66,0,10,0,0,2,0,13,1
541745,Myslovice,100,75,75,2,1,0,5,0,3,16,0,0,0,2,0,14,0,0,4,23,0,0,0,0,0,0,5,0
556751,NalûovskÈ Hory,982,560,557,45,1,0,40,0,59,55,2,4,8,0,0,35,0,0,24,189,1,35,0,3,3,3,48,2
578223,Nehodiv,60,34,33,4,0,0,5,0,1,1,0,1,2,0,0,1,0,0,3,8,0,4,0,0,0,0,3,0
578533,Nezamyslice,196,129,129,9,0,0,12,0,5,22,1,1,0,0,0,9,0,0,2,40,0,7,0,0,1,1,19,0
556815,Nezdice na äumavÏ,278,172,171,17,0,1,14,1,9,23,1,1,3,0,1,6,0,1,4,67,0,4,0,2,0,1,15,0
556831,N˝rsko,3748,2230,2219,251,4,0,174,4,200,216,21,31,28,3,6,211,1,2,55,666,4,89,3,13,13,6,209,9
541915,Obytce,157,90,90,12,0,0,3,0,3,10,0,0,1,0,0,7,0,1,2,25,0,1,0,1,2,0,22,0
541958,Olöany,181,142,142,7,0,0,17,0,18,9,5,3,0,0,0,10,0,0,7,41,0,7,0,2,1,0,15,0
578061,Ost¯etice,51,41,41,3,0,0,2,0,5,1,1,0,0,0,0,3,0,0,4,19,0,0,0,0,0,0,3,0
578061,Ost¯etice,51,41,41,3,0,0,2,0,5,1,1,0,0,0,0,3,0,0,4,19,0,0,0,0,0,0,3,0
578061,Ost¯etice,51,41,41,3,0,0,2,0,5,1,1,0,0,0,0,3,0,0,4,19,0,0,0,0,0,0,3,0
556912,PaËejov,644,388,386,24,0,1,33,3,95,30,0,3,2,0,1,29,0,0,6,101,1,15,0,3,0,0,38,1
556921,Petrovice u Suöice,513,347,345,55,1,0,22,2,17,22,4,4,5,0,0,31,0,2,11,91,0,29,0,0,0,1,47,1
556955,Pl·nice,1351,828,818,65,2,0,84,3,44,88,8,6,14,0,0,74,2,0,26,290,5,25,0,4,3,3,72,0
551686,Podmokly,125,74,74,8,0,0,3,0,5,9,0,4,1,0,0,4,0,0,2,26,0,3,0,0,0,0,7,2
541788,PoleÚ,227,126,125,6,0,2,11,0,3,29,1,0,1,0,0,14,0,0,3,36,0,3,0,0,0,0,12,4
556084,Pr·öily,131,81,79,11,0,0,5,0,6,3,2,0,0,0,0,6,0,0,13,21,0,5,0,0,0,0,6,1
557005,P¯edslav,614,434,434,43,2,0,37,4,25,36,4,8,0,0,0,26,1,0,11,169,3,10,1,1,2,2,47,2
557013,RabÌ,420,273,269,23,0,0,22,0,12,28,2,7,1,0,1,43,0,0,3,83,0,15,1,1,1,0,25,1
557021,Rejötejn,217,135,135,25,0,0,7,1,7,11,3,0,1,0,0,21,0,0,7,29,1,3,0,1,0,0,18,0
578436,Slatina,89,70,70,6,0,0,8,0,5,6,1,0,0,0,0,11,0,0,2,26,0,0,0,1,0,0,4,0
557099,SobÏöice,353,181,181,18,0,0,12,0,2,17,3,1,0,0,0,17,0,0,3,71,1,19,0,0,0,0,17,0
557111,SrnÌ,263,188,187,34,0,0,7,0,13,15,1,0,2,0,1,12,0,0,9,57,0,10,0,0,0,0,26,0
557129,StraöÌn,276,162,160,19,0,0,9,0,8,19,1,0,0,0,1,8,0,3,7,57,0,1,0,0,0,1,25,1
557137,Str·ûov,1073,688,688,75,3,2,60,0,32,53,1,3,4,1,2,37,1,1,20,252,0,54,0,2,2,6,70,7
557153,Suöice,9096,5584,5562,756,12,2,443,9,179,425,62,61,44,5,7,678,3,6,215,1†712,7,298,0,42,7,9,568,12
557161,SvÈradice,271,188,187,8,0,0,15,1,10,14,1,2,17,0,0,19,0,0,4,67,0,11,1,0,1,0,16,0
557200,ävihov,1351,887,880,82,2,1,78,1,61,100,8,2,9,0,4,66,4,0,29,281,1,49,1,4,1,5,89,2
553522,Tuûice,69,55,55,1,0,0,7,0,2,4,0,1,0,0,0,3,0,0,1,20,0,5,0,0,0,1,10,0
541885,T˝nec,268,155,155,8,1,0,26,0,2,14,1,1,0,2,1,12,0,0,2,57,0,3,0,0,1,0,23,1
578321,⁄jezd u Pl·nice,93,60,59,1,0,0,5,0,1,8,2,1,0,0,0,4,0,0,2,22,0,2,0,0,0,0,10,1
557366,Velhartice,712,461,459,32,1,1,27,1,31,41,4,4,1,0,0,37,0,0,15,142,0,79,0,3,1,3,35,1
557374,VelkÈ HydËice,207,123,123,4,1,0,13,0,5,6,2,1,1,1,0,14,0,0,3,54,0,12,0,2,0,0,4,0
557382,Velk˝ Bor,446,285,285,17,0,0,52,0,19,12,6,5,3,0,0,24,0,0,9,92,0,15,0,3,0,1,26,1
557455,VrhaveË,718,517,512,51,2,1,59,3,31,29,6,4,7,0,1,54,1,0,35,170,0,13,0,2,0,2,39,2
566055,V¯eskovice,247,138,138,21,0,0,18,0,6,8,0,4,5,0,0,13,0,0,8,25,1,8,0,1,1,0,19,0
557463,Zavlekov,365,225,222,16,3,0,13,0,9,22,1,3,2,0,0,9,0,0,5,94,0,13,0,0,0,0,31,1
